Q2 saw increased edge defects possibly due to tool aging.
Maintenance backlog noted in May.
2026-01-02T18:40:20.956095 | Plant_A | M-4 | Scratch | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956124 | Plant_B | M-4 | Crack | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956134 | Plant_B | M-6 | Alignment | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956142 | Plant_B | M-4 | Alignment | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956155 | Plant_B | M-2 | Alignment | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956172 | Plant_C | M-1 | Crack | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956177 | Plant_C | M-3 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956182 | Plant_C | M-8 | Alignment | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956188 | Plant_A | M-2 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956192 | Plant_A | M-4 | Contamination | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956197 | Plant_C | M-5 | Alignment | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956201 | Plant_A | M-1 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956206 | Plant_C | M-4 | Contamination | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956210 | Plant_A | M-7 | Crack | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956213 | Plant_A | M-7 | Crack | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956217 | Plant_C | M-9 | Alignment | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956222 | Plant_B | M-10 | Scratch | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956226 | Plant_A | M-7 | Crack | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956230 | Plant_C | M-1 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956234 | Plant_A | M-7 | Scratch | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956238 | Plant_A | M-3 | Alignment | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956242 | Plant_B | M-2 | Alignment | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956246 | Plant_B | M-1 | Crack | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956250 | Plant_A | M-9 | Alignment | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956254 | Plant_B | M-4 | Alignment | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956325 | Plant_A | M-6 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956330 | Plant_A | M-2 | Crack | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956335 | Plant_B | M-6 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956339 | Plant_A | M-1 | Contamination | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956343 | Plant_A | M-9 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956347 | Plant_C | M-4 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956351 | Plant_A | M-10 | Scratch | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956355 | Plant_C | M-5 | Crack | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956359 | Plant_C | M-4 | Alignment | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956363 | Plant_C | M-7 | Alignment | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956367 | Plant_A | M-7 | Alignment | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956371 | Plant_C | M-4 | Crack | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956376 | Plant_C | M-5 | Contamination | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956379 | Plant_A | M-2 | Contamination | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956383 | Plant_B | M-3 | Contamination | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956387 | Plant_B | M-5 | Contamination | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956391 | Plant_B | M-3 | Crack | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956395 | Plant_C | M-5 | Contamination | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956399 | Plant_A | M-10 | Crack | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956403 | Plant_B | M-4 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956407 | Plant_C | M-9 | Scratch | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956411 | Plant_C | M-1 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956419 | Plant_C | M-6 | Contamination | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956423 | Plant_C | M-9 | Crack | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956427 | Plant_C | M-2 | Scratch | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956431 | Plant_A | M-9 | Contamination | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956435 | Plant_C | M-1 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956439 | Plant_C | M-5 | Alignment | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956443 | Plant_B | M-3 | Alignment | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956447 | Plant_B | M-1 | Crack | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956451 | Plant_A | M-8 | Alignment | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956455 | Plant_A | M-6 | Scratch | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956459 | Plant_B | M-2 | Alignment | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956463 | Plant_B | M-8 | Scratch | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956467 | Plant_A | M-1 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956471 | Plant_C | M-6 | Scratch | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956475 | Plant_C | M-5 | Alignment | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956479 | Plant_C | M-5 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956484 | Plant_B | M-8 | Contamination | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956488 | Plant_A | M-7 | Alignment | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956492 | Plant_B | M-8 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956497 | Plant_B | M-10 | Contamination | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956501 | Plant_A | M-4 | Alignment | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956506 | Plant_A | M-1 | Crack | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956511 | Plant_A | M-7 | Alignment | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956515 | Plant_A | M-10 | Contamination | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956519 | Plant_A | M-6 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956523 | Plant_C | M-2 | Alignment | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956527 | Plant_B | M-1 | Crack | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956531 | Plant_B | M-6 | Scratch | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956535 | Plant_B | M-8 | Contamination | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956539 | Plant_B | M-6 | Crack | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956543 | Plant_A | M-2 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956547 | Plant_B | M-8 | Crack | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956551 | Plant_A | M-3 | Alignment | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956555 | Plant_A | M-9 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956559 | Plant_B | M-1 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956563 | Plant_B | M-2 | Alignment | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956567 | Plant_B | M-10 | Crack | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956571 | Plant_C | M-2 | Contamination | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956575 | Plant_A | M-10 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956579 | Plant_B | M-7 | Scratch | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956582 | Plant_A | M-9 | Scratch | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956586 | Plant_A | M-6 | Crack | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956590 | Plant_A | M-9 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956595 | Plant_B | M-5 | Alignment | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956600 | Plant_C | M-4 | Contamination | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956608 | Plant_C | M-1 | Scratch | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956615 | Plant_A | M-4 | Alignment | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956622 | Plant_B | M-4 | Contamination | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956629 | Plant_C | M-6 | Contamination | HIGH | Observed during inspection, corrective action pending
